================================================================================
Old Branches Report
================================================================================
Generated: 2025-11-12 19:56:01 UTC
Threshold: 1 day(s)

Total old branches: 281

Branches to delete:

  copilot/create-mandate-translation-layer                                 7d old (last: 2025-11-05)
  copilot/docsfield-relocation-ui-copy                                     7d old (last: 2025-11-05)
  copilot/fix-osr-detection-error                                          7d old (last: 2025-11-04)
  copilot/fix-playwright-port-conflict                                     7d old (last: 2025-11-05)
  copilot/sub-pr-239                                                       7d old (last: 2025-11-04)
  copilot/sub-pr-251                                                       7d old (last: 2025-11-04)
  copilot/sub-pr-252                                                       7d old (last: 2025-11-05)
  copilot/sub-pr-265                                                       7d old (last: 2025-11-05)
  copilot/update-docs-field-relocation-ui                                  7d old (last: 2025-11-05)
  copilot/update-transit-overlay-documentation                             7d old (last: 2025-11-05)
  feat/srp-translocation                                                   7d old (last: 2025-11-05)
  fix-initial-reading-trigger                                              7d old (last: 2025-11-05)
  fix/balance-meter-overflow-boundary                                      7d old (last: 2025-11-05)
  fix/graceful-error-handling                                              7d old (last: 2025-11-04)
  fix/placidus-calculation-bug                                             7d old (last: 2025-11-04)
  fix/robust-house-cusp-extraction                                         7d old (last: 2025-11-05)
  pr-review-1                                                              7d old (last: 2025-11-05)
  chore/chat-client-refactor-review                                        6d old (last: 2025-11-06)
  code-review-epistemic-alignment                                          6d old (last: 2025-11-06)
  codex/fix-google-auth0-login-issue                                       6d old (last: 2025-11-06)
  codex/fix-typescript-error-in-seismographlike                            6d old (last: 2025-11-05)
  codex/review-and-refactor-chatclient-component                           6d old (last: 2025-11-06)
  codex/review-and-refactor-chatclient-component-1-1                       6d old (last: 2025-11-06)
  copilot/review-outdated-branches                                         6d old (last: 2025-11-05)
  copilot/manage-pull-request-organization                                 5d old (last: 2025-11-07)
  codex/fix-deployment-issues-due-to-missing-.env-and-port-conflict        4d old (last: 2025-11-08)
  codex/investigate-access-issue-for-poetic-brain                          4d old (last: 2025-11-07)
  copilot/sub-pr-283                                                       4d old (last: 2025-11-07)
  relocation-refactor                                                      4d old (last: 2025-11-07)
  feature/add-doc-organizer-agent                                          3d old (last: 2025-11-08)
  code-review-1700000000                                                   2d old (last: 2025-11-10)
  codex/review-and-refactor-chatclient-component-1                         2d old (last: 2025-11-10)
  codex/write-unit-test-for-error-handling                                 2d old (last: 2025-11-10)
  copilot/create-master-reference-document                                 2d old (last: 2025-11-10)
  copilot/sub-pr-293                                                       2d old (last: 2025-11-10)
  imgbot                                                                   2d old (last: 2025-11-10)
  refactor/math-brain-service                                              2d old (last: 2025-11-10)
  telemetry                                                                2d old (last: 2025-11-10)
  codex/fix-report-generation-birth-data-error                             1d old (last: 2025-11-10)
  fix-mobile-download                                                      1d old (last: 2025-11-10)
  fix/mobile-download-buttons-1                                            1d old (last: 2025-11-11)
